Title,Handle,Collection,Body (HTML),Tags,Image Src
Green Pear Gemstone,green-pear-gemstone,Illustration,"<p>watercolor illustration// gemstone// green// pear//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",green-pear-gemstone.jpg
Pink Triangle Gemstone,pink-triangle-gemstone,Illustration,"<p>watercolor illustration// gemstone// pink// triangle//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",pink-triangle-gemstone.jpg
Purple Circle Gemstone,purple-circle-gemstone,Illustration,"<p>watercolor illustration// gemstone// purple// circle//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",purple-circle-gemstone.jpg
Rectangle Green Gemstone,rectangle-green-gemstone,Illustration,"<p>watercolor illustration// gemstone// green// rectangle//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",rectangle-green-gemstone.jpg
Sharpcircle Pink Gemstone,sharpcircle-pink-gemstone,Illustration,"<p>watercolor illustration// gemstone// pink// circle//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",sharpcircle-pink-gemstone.jpg
Square Blue Gemstone,square-blue-gemstone,Illustration,"<p>watercolor illustration// gemstone// blue// square</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",square-blue-gemstone.jpg
Square Purple Gemstone,square-purple-gemstone,Illustration,"<p>watercolor illustration// gemstone// purple// square</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",square-purple-gemstone.jpg
California,california,Illustration,"<p>watercolor illustration// typographic map// united states// america//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, map, california",california.jpg
United States,united-states,Illustration,"<p>watercolor illustration// typographic map// united states// america//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, map, united states, america",united-states.jpg
Texas,texas,Illustration,"<p>watercolor illustration// typographic map// texas//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, map, texas",texas.jpg
Milky Way,milky-way,Off-Illustration,"<p>watercolor illustration// solar system// space// milky way//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, planet, space, milky way ",milky-way.jpg
Bridesmaid,bridesmaid,Invitation,"<p>allebasi & anna invitations// bridesmaid request// hand illustrated// hand lettering// </p><br><br>PIECE DETAILS<br> <br>Invitaiton: single sided, corresponding kraft or white envelope included (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Hand-lettered envelope: (7.25 x 5.25"""")(18.4 x 13.3 cm) $3.00 <br><br>If you would like additional bespokepieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br><br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br>","watercolor, bridesmaid, hand letter ",bridesmaid-1.jpg
Corn,corn,Illustration,"<p>watercolor illustration// plants// corn//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>",watercolor,"corn-1.jpg,corn-2.jpg"
Succulent No. 1,succulent-1,Illustration,"<p>watercolor illustration// succulent// green//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, succulent",succulent-1.jpg
Fig,fig,Illustration,"<p>watercolor illustration// fruit series// fig//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, fruit, fig",fig.jpg
Gift Tag,gift-tag,Illustration,"<p>watercolor illustration// gift tags..</p><br><br>PIECE DETAILS<br><br>Six gift tags: double sided (one side watercolor print, other side hand lettered print) (Tag: 4cm x 7cm) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions or designs!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.","watercolor, gift tag, peony, leaf","gift-tag-1.jpg,gift-tag-2.jpg,gift-tag-3.jpg,gift-tag-4.jpg,gift-tag-5.jpg,gift-tag-6.jpg,gift-tag-7.jpg"
